,correlation
worst concave points,0.7935660171412694
worst perimeter,0.7829141371737591
mean concave points,0.7766138400204369
worst radius,0.7764537785950396
mean perimeter,0.7426355297258331
worst area,0.7338250349210503
mean radius,0.7300285113754561
mean area,0.70898383658539
mean concavity,0.6963597071719052
worst concavity,0.6596102103692333
mean compactness,0.5965336775082527
worst compactness,0.5909982378417918
radius error,0.5671338208247173
perimeter error,0.556140703431483
area error,0.548235940278024
worst texture,0.4569028213967982
worst smoothness,0.4214648610664026
worst symmetry,0.4162943110486199
mean texture,0.4151852998452047
concave points error,0.40804233271650503
mean smoothness,0.35855996508593324
mean symmetry,0.3304985542625469
worst fractal dimension,0.3238721887208246
compactness error,0.29299924424885854
concavity error,0.2537297659808307
fractal dimension error,0.07797241739025583
smoothness error,-0.06701601057948751
mean fractal dimension,-0.012837602698431866
texture error,-0.008303332973877068
symmetry error,-0.006521755870647794
