component,explained_variance_ratio,cumulative_explained_variance
1,0.44593522202270613,0.44593522202270613
2,0.18545255453685275,0.6313877765595589
3,0.0958464120645955,0.7272341886241545
4,0.06593768249233613,0.7931718711164906
5,0.05622286161106244,0.8493947327275531
6,0.03988487723885165,0.8892796099664048
7,0.02214493165900494,0.9114245416254096
8,0.01614005640816539,0.927564598033575
9,0.012847889581317804,0.9404124876148928
10,0.01165661382420741,0.9520691014391003
11,0.010083599366478303,0.9621527008055786
12,0.00905534746836791,0.9712080482739465
13,0.007926352851324307,0.9791344011252707
14,0.004794821010874623,0.9839292221361453
15,0.0030410701587952923,0.9869702922949406
16,0.0025129940061619296,0.9894832863011025
17,0.0019752487138375422,0.9914585350149401
18,0.0017441340375844597,0.9932026690525245
19,0.0015734656034851562,0.9947761346560097
20,0.0010515227039803593,0.99582765735999
21,0.000995539341410172,0.9968231967014002
22,0.0007958148882942554,0.9976190115896945
23,0.000784034549911488,0.998403046139606
24,0.0005312462752304789,0.9989342924148364
25,0.0005118622816622201,0.9994461546964987
26,0.0002641130566076482,0.9997102677531063
27,0.0002099924038450526,0.9999202601569513
28,5.0330694209870145e-05,0.9999705908511612
29,2.5282761422800244e-05,0.999995873612584
30,4.126387415910665e-06,0.9999999999999999
