feature,importance_mean,importance_std
worst smoothness,0.04999999999999996,0.018288442256830007
worst texture,0.04047619047619046,0.018595832561682485
worst concave points,0.0357142857142857,0.019195851781663185
worst concavity,0.03214285714285713,0.01729266553134991
worst symmetry,0.02976190476190476,0.016624095290201094
worst radius,0.028571428571428564,0.0161484047217268
worst perimeter,0.028571428571428564,0.0161484047217268
worst area,0.027380952380952374,0.017292665531349914
texture error,0.025000000000000022,0.005189165408976975
mean fractal dimension,0.024999999999999994,0.020585257697369727
mean concavity,0.023809523809523808,0.016835875742536824
mean concave points,0.023809523809523808,0.016835875742536824
mean radius,0.022619047619047622,0.015927485905070995
mean area,0.022619047619047622,0.015927485905070995
mean perimeter,0.022619047619047622,0.015927485905070995
worst compactness,0.021428571428571443,0.012821820969367858
mean texture,0.021428571428571436,0.019777675864090644
fractal dimension error,0.021428571428571425,0.018288442256830004
area error,0.015476190476190494,0.01135641906448746
perimeter error,0.011904761904761918,0.011904761904761918
symmetry error,0.010714285714285727,0.011845088536983583
compactness error,0.010714285714285721,0.0140355072887519
radius error,0.009523809523809535,0.011664236870396097
mean smoothness,0.007142857142857145,0.013256581816261956
concave points error,0.0011904761904761919,0.005189165408976999
worst fractal dimension,0.0011904761904761919,0.005189165408976997
concavity error,0.0,0.0
smoothness error,0.0,0.0
mean symmetry,0.0,0.0
mean compactness,0.0,0.0
